"Team","FGM","FGA","FTM","FTA","TPM","TPA","PTS","OFFR","DEFR","REB","AST","TO","STL","BLK","Home.Games","Away.Games","Wins","Losses","Home.Wins","Top.25.Teams","Top.25.Wins","Top.25.Losses","Top.25.Win.Percentage","Top.25.Point.Diff","Top.25.Point.Diff.Per.Game","Score.For","Score.Against","Clutch.Opportunities","Clutch.Wins","Clutch.Percentage","Win.Percentage","Total.Games","Overall.Point.Diff","Point.Diff.Per.Game","Field.Goal.Percentage","Free.Throw.Percentage","Three.Point.Percentage","Offensive.Rebounds.Per.Game","Defensive.Rebounds.Per.Game","Assists.Per.Game","Turnovers.Per.Game","Steals.Per.Game","Blocks.Per.Game","Home.Win.Percentage","Away.Win.Percentage","Ranking","Overall.Rating..2016.Eq.","Overall.Rating..2017.Eq.","Year"
"16Oregon.State",811,1843,461,687,218,587,2301,337,764,1101,432,361,236,106,19,12,19,12,15,5,1,4,0.2,-35,-7,2234,2169,6,6,1,0.612903,31,65,2.09677,0.440043,0.671033,0.37138,10.871,24.6452,13.9355,11.6452,7.6129,3.41935,0.789474,0.333333,5,98.1121,49.8164,2016
"16Michigan",947,2048,420,569,342,901,2656,290,862,1152,537,348,203,81,24,10,22,12,18,12,3,9,0.25,-115,-9.58333,2526,2294,6,5,0.833333,0.647059,34,232,6.82353,0.462402,0.738137,0.379578,8.52941,25.3529,15.7941,10.2353,5.97059,2.38235,0.75,0.4,5,103.576,48.8334,2016
"16Texas",814,1884,495,743,232,680,2355,363,774,1137,377,341,167,144,22,10,20,12,15,13,6,7,0.461538,-51,-3.92308,2283,2178,10,7,0.7,0.625,32,105,3.28125,0.432059,0.666218,0.341176,11.3438,24.1875,11.7813,10.6563,5.21875,4.5,0.681818,0.5,5,99.3621,48.7368,2016
"16Texas.Tech",785,1754,550,741,185,535,2305,326,761,1087,418,385,190,134,21,10,19,12,16,11,3,8,0.272727,-66,-6,2244,2165,10,6,0.6,0.612903,31,79,2.54839,0.447548,0.74224,0.345794,10.5161,24.5484,13.4839,12.4194,6.12903,4.32258,0.761905,0.3,5,101.613,48.4357,2016
"16UConn",778,1809,441,619,223,628,2220,336,873,1209,432,402,146,177,24,10,24,10,18,4,1,3,0.25,-33,-8.25,2496,2145,10,4,0.4,0.705882,34,351,10.3235,0.430072,0.712439,0.355096,9.88235,25.6765,12.7059,11.8235,4.29412,5.20588,0.75,0.6,5,98.9149,48.3866,2016
"16Austin.Peay",945,2049,627,936,223,645,2740,422,904,1326,479,502,250,101,19,16,18,17,11,2,0,2,0,-65,-32.5,2661,2660,10,6,0.6,0.514286,35,1,0.0285714,0.461201,0.669872,0.345736,12.0571,25.8286,13.6857,14.3429,7.14286,2.88571,0.578947,0.4375,5,98.3476,48.2211,2016
"16Fair.Dickinson",929,2028,462,663,238,656,2558,347,760,1107,472,423,251,87,15,17,18,14,9,1,0,1,0,-37,-37,2493,2504,11,7,0.636364,0.5625,32,-11,-0.34375,0.458087,0.696833,0.362805,10.8438,23.75,14.75,13.2188,7.84375,2.71875,0.6,0.529412,5,98.5083,46.9072,2016
"16Buffalo",844,1889,482,697,231,706,2401,385,862,1247,434,453,174,115,20,14,20,14,15,2,0,2,0,-44,-22,2637,2555,8,4,0.5,0.588235,34,82,2.41176,0.446797,0.691535,0.327195,11.3235,25.3529,12.7647,13.3235,5.11765,3.38235,0.75,0.357143,5,95.4584,45.6199,2016
"16Holy.Cross",775,1880,466,678,251,769,2267,279,772,1051,479,386,219,86,14,19,14,19,8,1,0,1,0,-33,-33,2156,2299,15,9,0.6,0.424242,33,-143,-4.33333,0.412234,0.687316,0.326398,8.45455,23.3939,14.5152,11.697,6.63636,2.60606,0.571429,0.315789,5,93.3257,45.0883,2016
"17Kansas.State",965,1948,538,681,311,843,2779,316,891,1207,505,402,259,109,21,12,20,13,14,8,3,5,0.375,-22,-2.75,2367,2209,12,5,0.416667,0.606061,33,158,4.78788,0.49538,0.790015,0.368921,9.57576,27,15.303,12.1818,7.84848,3.30303,0.666667,0.5,10,109.027,53.8714,2017
